_event_id,_day_of_week,_start_time,_end_time,_weeks,_break_mins,_spanName,_event_catName,_tag1,_tag2,_capacity_req,_deptName,_global_event,_protected,_suspended,_grouping_id,_registers_req,_lock,_resType,_resName,_resWeeks,_layoutName,_scheduling_status,_quantity
60333,Thu,17:00,19:00,25,0,,,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Room,x,,,,
59522,Mon,12:00,13:00,21-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,SPAN 1101,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLLN,,,,
59650,Sat,13:00,14:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,FREN 1001,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLLN,,,,
59651,Sat,14:00,15:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,FREN 1001,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room 11,,,,
59652,Sat,15:00,16:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,FREN 1001,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room 11,,,,
59654,Sat,16:00,17:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,FREN 1001,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room 11,,,,
59656,Sat,09:00,10:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,FREN 1001,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room 10,,,,
59657,Sat,10:00,11:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,FREN 1001,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room 10,,,,
59658,Sat,11:00,12:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,FREN 1001,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  LECTURE ROOM,,,,
59659,Sat,12:00,13:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,FREN 1001,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  LECTURE ROOM,,,,
59660,Mon,17:00,18:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,FREN 1002,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room 10,,,,
59662,Mon,18:00,19:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,FREN 1002,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLLS,,,,
59664,Wed,17:00,18:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,FREN 1002,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room 10,,,,
59666,Wed,18:00,19:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,FREN 1002,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room 10,,,,
